dummy,dummy,dummy,dummy
DA Warner,0.479683698297,0.620957064498,1
LMP Simmons,0.501216545012,0.405964314986,1
AM Rahane,0.55097323601,0.458293928504,1
AB de Villiers,0.521167883212,0.737847550596,1
V Kohli,0.512287104623,0.458798310321,1
CH Gayle,0.451581508516,0.56358363281,1
RG Sharma,0.372627737226,0.546497698758,1
SS Iyer,0.364598540146,0.44322552172,1
BB McCullum,0.361800486618,0.615661055419,1
KA Pollard,0.417153284672,0.665847046214,1
JP Duminy,0.457420924574,0.462581173949,1
DR Smith,0.257177615572,0.384843326398,0
F du Plessis,0.309367396594,0.422041485404,0
SK Raina,0.257055961071,0.407036126348,0
MS Dhoni,0.330900243309,0.402938024084,0
RV Uthappa,0.322749391727,0.462455078494,0
DA Miller,0.348540145985,0.480108442091,1
S Dhawan,0.284063260341,0.412142992245,0
SR Watson,0.481508515815,0.485215307988,1
PA Patel,0.27104622871,0.50274257613,0
AD Russell,0.399878345499,0.865077863943,2
G Gambhir,0.259732360097,0.37557531051,0
YK Pathan,0.49598540146,0.485467498897,1
SPD Smith,0.277858880779,0.469831662569,0
MC Henriques,0.452554744526,0.491520080701,1
AT Rayudu,0.333576642336,0.551919803291,1
GJ Bailey,0.240267639903,0.493411512515,0
M Vijay,0.231386861314,0.328037324254,0
Yuvraj Singh,0.186739659367,0.38150179686,0
WP Saha,0.186739659367,0.430868167203,0
MK Pandey,0.202554744526,0.404892503625,0
MA Agarwal,0.241727493917,0.392661244562,0
AR Patel,0.232238442822,0.380366937772,0
SV Samson,0.201946472019,0.422987201311,0
DJ Bravo,0.217396593674,0.464661748944,0
KM Jadhav,0.241119221411,0.485089212534,0
EJG Morgan,0.238199513382,0.414727949057,0
KK Nair,0.153892944039,0.420969674043,0
SA Yadav,0.165936739659,0.509930017023,0
M Singh,0.226642335766,0.623794212219,2
DJ Hooda,0.157907542579,0.636088519009,2
GJ Maxwell,0.114111922141,0.450160771704,0
RS Bopara,0.306569343066,0.395750583191,0
AD Mathews,0.20401459854,0.506903726121,0
JP Faulkner,0.172749391727,0.466868419393,0
KL Rahul,0.299270072993,0.344492781035,0
KD Karthik,0.109732360097,0.393733055923,0
NV Ojha,0.120437956204,0.347771262846,0
RA Jadeja,0.183211678832,0.294432885694,0
Q de Kock,0.448540145985,0.632873084925,1
D Wiese,0.324817518248,0.528339953345,1
Harbhajan Singh,0.157055961071,0.64441081899,2
P Negi,0.130170316302,0.635773280373,2
CJ Anderson,0.416058394161,0.374944833239,1
HH Pandya,0.226277372263,0.77290208688,2
SN Khan,0.291362530414,0.619633062228,2
SS Tiwary,0.205109489051,0.514973835193,0
Karn Sharma,0.164598540146,0.405333837715,0
UBT Chand,0.201946472019,0.40873841498,0
V Sehwag,0.104379562044,0.377025408234,0
JA Morkel,1.0,0.468129373936,1
M Vohra,0.0962287104623,0.272177038018,3
SE Marsh,0.200121654501,0.514469453376,0
MEK Hussey,0.18795620438,0.32746989471,0
CH Morris,0.416058394161,0.675619443919,1
STR Binny,0.178832116788,0.340836012862,0
A Ashish Reddy,0.249756690998,0.634512325831,2
RN ten Doeschate,0.201094890511,0.488619885253,0
MK Tiwary,0.300486618005,0.275707710737,0
PP Chawla,0.11800486618,0.358300233277,0
R Ashwin,0.164598540146,0.65847046214,2
J Suchith,0.537712895377,0.579660803228,1
GH Vihari,0.0723844282238,0.33648571969,0
MS Bisla,0.178832116788,0.411512514974,0
Shakib Al Hasan,0.0997566909976,0.474560242103,0
R Dhawan,0.172749391727,0.321732551542,0
Gurkeerat Singh ,0.0389294403893,0.199735199546,3
J Botha,0.0794403892944,0.936952272871,2
MG Johnson,0.0480535279805,0.176848874598,3
KS Williamson,0.330900243309,0.35779585146,0
UT Yadav,0.306569343066,0.939915516046,2
MM Sharma,0.0672749391727,0.614715339512,2
AJ Finch,0.0936739659367,0.0733875543787,3
Iqbal Abdulla,0.0754257907543,0.334468192422,0
NM Coulter-Nile,0.014598540146,0.334468192422,0
DW Steyn,0.197080291971,0.603934178173,2
HV Patel,0.0,0.632179559927,2
Anureet Singh,0.0267639902676,0.0,3
B Kumar,0.160583941606,0.705756257487,2
P Kumar,0.0227493917275,0.0626694407667,3
SA Abbott,0.0450121654501,0.361389571906,0
AP Tare,0.0389294403893,0.153142929197,3
RR Rossouw,0.0389294403893,0.516613076099,0
MJ McClenaghan,0.111922141119,1.0,2
TJ Southee,0.111922141119,0.544606266944,0
DJG Sammy,0.0328467153285,0.0892755816153,3
NLTC Perera,0.0267639902676,0.138326713322,3
MA Starc,0.0875912408759,0.129310888342,3
Karanveer Singh,0.0875912408759,0.0673980203014,3
Abu Nechim,0.0754257907543,0.894899438875,2
