pclass,sex,embarked,survived
1,female,S,1
1,male,S,1
2,female,S,0
1,male,S,0
2,female,S,0
1,male,S,1
1,female,S,1
1,male,S,0
1,female,S,1
1,male,C,0
1,male,C,0
1,female,C,1
1,female,C,1
1,female,S,1
1,male,S,0
1,male,S,0
1,male,C,0
1,female,C,1
1,female,C,1
1,male,C,0
1,male,S,0
1,female,S,1
1,male,C,1
1,female,C,1
1,female,S,1
1,male,C,0
1,male,C,1
1,female,C,1
1,female,S,1
1,male,S,1
2,male,S,0
1,male,C,1
1,female,S,1
1,female,S,1
2,male,S,0
1,female,C,1
2,female,S,0
1,male,S,1
1,male,S,0
1,male,C,0
1,male,C,0
1,female,C,1
1,female,S,1
1,female,C,1
1,female,C,1
1,male,S,0
2,male,S,0
1,male,S,1
2,female,C,0
1,male,C,1
1,female,C,1
2,male,S,0
1,male,S,0
1,male,S,0
1,male,S,1
1,female,S,1
1,male,S,1
2,female,S,0
2,male,S,0
1,female,C,1
2,male,S,0
1,female,S,1
1,male,S,0
1,female,S,1
1,male,S,1
2,female,S,1
1,female,C,1
1,female,S,1
1,male,C,0
1,female,S,1
2,male,S,0
1,male,C,0
1,female,C,1
1,female,S,1
1,male,S,0
1,male,S,0
1,female,C,1
1,male,C,0
1,female,C,1
1,female,S,1
1,male,S,0
1,male,S,0
1,female,S,1
1,female,S,1
1,male,C,0
1,female,C,1
1,male,S,1
1,male,S,1
1,female,S,1
1,male,S,0
1,female,S,1
1,male,S,1
1,female,S,1
1,male,S,1
1,male,S,1
1,female,S,1
1,male,C,0
1,female,C,1
1,female,C,1
